,fecha,obs1,obs2,obs3,r1d1R,r2d1R,r1d1S,r2d1S,r1d2R,r2d2R,r1d2S,r2d2S,obs,year,month,day,hour
126,2020-07-06,0.0,0.000383,0.22,5.998549044132233,7.513695951785905,7.582530051469803,9.222510199507578,11.20984697341919,11.10348122329778,7.799574851989746,8.866564544953714,0.0001915,2020,7,6,0
127,2020-07-07,17.78,15.660558,2.6900000000000004,9.41190266609192,9.66080009516299,3.007437109947204,3.4448442078129324,3.0295658111572266,11.948330525803108,30.36415100097656,52.23821295025087,16.720279,2020,7,7,0
128,2020-07-08,51.816,42.89335200000001,25.28,,,,,,,,,47.354676000000005,2020,7,8,0
129,2020-07-09,1.016,0.889103,0.7600000000000001,15.815950393676758,20.406111783024187,30.894248962402344,31.2761397146912,18.474891662597653,13.897504035318994,35.48215103149414,44.74741949515359,0.9525515,2020,7,9,0
130,2020-07-10,13.462,9.93735,12.38,39.89295827411115,37.08429132482306,32.07256561482791,34.47952277320306,60.11725234985352,64.76044748923972,16.613327026367184,17.68560321655748,11.699675,2020,7,10,0
131,2020-07-11,1.27,1.202043,1.13,12.83377917483449,22.588509400651645,25.587150387465957,38.64103165076871,21.79971408843994,17.244514781003932,6.8841400146484375,10.9845859952096,1.2360215,2020,7,11,0
132,2020-07-12,7.366,6.189844,1.2700000000000002,4.866708099842072,4.653295829636715,33.86781718357318,33.97515585470217,2.2194728851318355,3.747321299909289,51.52598190307617,38.69117063563874,6.777922,2020,7,12,0
133,2020-07-13,8.128,6.082115,6.76,30.960024774074554,52.67984788953406,110.1563170850277,114.13371357122064,6.26624870300293,6.257217224024196,0.2965087890624999,0.364262266333141,7.1050575,2020,7,13,0
134,2020-07-14,0.254,0.412581,2.12,7.816534042358398,10.168465973091717,0.0837363116443154,0.1430917446246867,0.0601358413696287,0.6707650829586187,0.1384510397911071,0.1701310567091123,0.3332905,2020,7,14,0
135,2020-07-15,0.0,0.306184,0.19,1.8779498208314167,1.5881310893405904,1.563349956537422,1.5810968348741774,0.0879371166229243,0.0953156569230671,0.0377542972564694,0.0521305291914759,0.153092,2020,7,15,0
136,2020-07-16,0.762,0.687931,0.0,24.594983253628016,23.699011454402974,5.996421575546265,5.742088321176405,0.1560230255126948,0.1678774900580911,0.0022616386413573,0.0149265472122057,0.7249654999999999,2020,7,16,0
